id,발생시각,처음확인,마지막변경,권역,보낸곳,출처,지역,건물,건물종류,화재종류,진행상태,등급,신빙성,규모,규모근거,진화,층,아래층물피해,관련기사수,언론사,관련기사,네이버뉴스,네이버블로그,네이버카페
35287d93da1e,2026-09-24T11:23:20+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 성북구 정릉동,대선빌딩,상가·빌딩,"일반화재(차량,주택)",확인필요,★,,,,,,,0,,,0,0,0
7695b58ae8dc,2026-09-24T14:05:35+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 동작구 노량진동,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
2ea21ac0d5e6,2026-09-24T14:18:43+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 영종구 중산동,,,"고층건물(3층이상,아파트)",진화중,★★,,,,,,,0,,,0,0,0
5a191eb751f4,2026-09-24T15:53:12+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 남부,사장님,소방출동,경기도 안양시 동안구 평촌동,초원대림 지하주차장 기계실,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
bd4c2a87719e,2026-09-24T16:36:40+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 남부,사장님,소방출동,경기도 안성시 미양면 후평리,신두만곡로,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
dea8b7b922e8,2026-09-24T16:39:39+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 수원시 권선구 고색동,금호리첸시아퍼스티지  오피스텔 101동 앞 사거리,상가·빌딩,기타화재,방문가능,★★★,,,,,,,0,,,0,0,0
fd3392d915bf,2026-09-24T17:23:58+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 계양구 계산동,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
053b768d5743,2026-09-24T17:33:45+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 서해구 가좌동,대성로얄빌라,주택·빌라,기타화재,진화중,★,,,,,,,0,,,0,0,0
d22352a0235b,2026-09-24T17:34:59+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 동부,사장님,소방출동,경기도 양평군 강상면 병산리,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
75b633f579cc,2026-09-24T17:49:34+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 서대문구 홍은동,,,"일반화재(차량,주택)",진화중,★,,정보없음,,,,,0,,,0,0,0
e135853c1664,2026-09-24T17:52:40+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 미추홀구 숭의동,광해리드빌,주택·빌라,"고층건물(3층이상,아파트)",진화중,★,,정보없음,,,,,0,,,0,0,0
8f90eca452e2,2026-09-24T18:40:32+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,인천,사장님,소방출동,인천광역시 부평구 십정동,,,"대형화재(시장,공장)",방문가능,★,,정보없음,,,,,0,,,0,0,0
238d5495276b,2026-09-24T18:44:10+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 동부,사장님,소방출동,경기도 광주시 남한산성면 오전리,,,"일반화재(차량,주택)",진화중,★,,정보없음,,,,,0,,,0,0,0
